issue_id,category,subcategory,journey_stage,issue_description,resolution_steps
1,Payment,Failed Transaction,Purchase,"Customer's payment failed during checkout. Amount was debited but order not placed. Common triggers include bank server timeout, incorrect card details, or network interruption during UPI payment.","1. Check if the amount was debited from your account. 2. Wait 30 minutes — the amount is auto-refunded if the order was not placed. 3. Check your bank statement for a pending transaction. 4. If not refunded within 7 business days, raise a dispute with your bank. 5. Re-attempt the payment using a different method or card."
2,Payment,UPI Failure,Purchase,"UPI payment failed or timed out. Customer sees a 'payment pending' or 'transaction failed' status. UPI failures are often caused by VPA issues, bank downtime, or daily UPI limit being reached.","1. Verify your UPI ID (VPA) is correct and active. 2. Check if you've reached your daily UPI transaction limit. 3. Ensure your bank's UPI service is available. 4. Try after 15–30 minutes as bank servers may be temporarily down. 5. Use net banking or card as an alternate payment method. 6. Contact your bank if the issue persists."
3,Payment,Refund Not Received,Post-Purchase,"Customer submitted a return or cancellation but has not received the refund. Refunds are typically processed within 5–7 business days after the return is picked up or cancellation confirmed.","1. Confirm the return has been picked up or cancellation has been approved. 2. Refunds are initiated within 24–48 hours of pickup confirmation. 3. Bank processing may take 5–7 additional business days. 4. Check the original payment method — refunds are returned to the source account. 5. If refund is not received after 10 business days, contact support with your order ID."
4,Payment,OTP Not Received,Purchase,"Customer did not receive the OTP required to complete the payment. This could be due to network issues, incorrect mobile number registered with the bank, or telecom delays.","1. Ensure you are entering the mobile number registered with your bank. 2. Check if your phone has network coverage. 3. Wait 2–3 minutes and click 'Resend OTP'. 4. Check spam/DND settings — some DND settings block transactional SMS. 5. Temporarily disable DND and retry. 6. Contact your bank to verify your registered mobile number."
5,Payment,Duplicate Charge,Post-Purchase,"Customer was charged twice for the same order. This can happen due to network retries, double-clicks on the payment button, or system errors during payment processing.","1. Check your bank statement to confirm the duplicate charge. 2. Share the transaction IDs and bank statement with support. 3. One transaction will be refunded automatically within 3–5 business days. 4. If both transactions show as 'successful', raise a dispute ticket with your bank. 5. Escalate to the payments team with both order IDs if the issue is unresolved."
6,Account,Login Failure,Pre-Purchase,"Customer cannot log in to their account. May be caused by forgotten password, incorrect credentials, account lock after multiple failed attempts, or social login issues.","1. Click 'Forgot Password' and reset via your registered email or mobile number. 2. Ensure you're using the correct email/phone linked to the account. 3. Clear browser cache and cookies or try a different browser. 4. If account is locked, wait 30 minutes before retrying. 5. Use 'Login with Google' or 'Login with OTP' as alternatives. 6. Contact support if you cannot access the registered email or phone."
7,Account,Account Locked,Pre-Purchase,"Account has been temporarily locked due to multiple incorrect login attempts or suspicious activity detection. Security lock is automatically applied to protect the account.","1. Wait 30 minutes for the automatic lock to expire. 2. Use the 'Unlock Account' link sent to your registered email. 3. Reset your password using 'Forgot Password'. 4. If lock was due to suspicious activity, verify your identity via OTP. 5. Check for unauthorized access and change your password immediately. 6. Enable two-factor authentication to prevent future issues."
8,Account,Profile Update Issue,Post-Purchase,"Customer is unable to update their profile information such as name, email, phone number, or address. Some fields may be restricted due to verification requirements or system limits.","1. Ensure you are logged in before attempting to edit your profile. 2. Phone number and email changes require OTP verification — check your inbox or messages. 3. Some fields like legal name may require ID proof — upload a valid document. 4. Clear app cache and try again. 5. If the issue persists, contact support with the field you want to update and your account ID."
9,Account,KYC Verification Failed,Pre-Purchase,"Customer's KYC (Know Your Customer) verification was rejected. Common reasons include blurry document photos, name mismatch, expired documents, or unsupported document types.","1. Ensure the document photo is clear, well-lit, and fully visible. 2. Check that the name on the document matches your account name exactly. 3. Use a supported document type: Aadhaar, PAN, Passport, or Voter ID. 4. Ensure the document is not expired. 5. Re-upload from the Profile > KYC section. 6. If repeatedly failing, contact support with the document type used."
10,Account,Account Deactivated,Post-Purchase,"Customer's account has been deactivated due to policy violation, inactivity, or fraud suspicion. Deactivated accounts cannot log in or place orders.","1. Check your registered email for a deactivation notice with reason. 2. If due to inactivity, request account reactivation via the support form. 3. If due to policy violation, review the policy terms sent to your email. 4. Appeal the deactivation by contacting support with your account ID. 5. If fraud-related, provide identity verification documents for review."
11,Order,Order Not Placed,Purchase,"Customer attempted to place an order but it was not confirmed. Payment may have gone through but the order does not appear in their order history.","1. Check your email for an order confirmation. 2. Log in and check 'My Orders' — the order may show as 'Processing'. 3. If payment was deducted but order not placed, a refund will be initiated automatically. 4. Wait 30 minutes for the system to process and confirm the order. 5. Do not place a duplicate order until you confirm the original did not go through. 6. Contact support with the transaction reference number."
12,Order,Wrong Item Delivered,Post-Purchase,"Customer received an item different from what was ordered. This may be due to picker error, packaging mix-up, or inventory issues at the warehouse.","1. Take a clear photo of the item received and the packaging label. 2. Go to 'My Orders' and select the affected order. 3. Click 'Report a Problem' and select 'Wrong Item Received'. 4. Upload the photo evidence and submit. 5. A replacement or refund will be initiated within 24–48 hours. 6. Do not use or dispose of the wrong item before the return pickup."
13,Order,Order Delayed,Post-Purchase,"Customer's order has not been delivered by the estimated delivery date. Delays can be caused by weather, high demand, carrier issues, or incorrect delivery address.","1. Track your order using the tracking link in your confirmation email. 2. Check if the estimated delivery date has passed or if there are delay notifications. 3. Verify that your delivery address is complete and accurate. 4. Contact the delivery partner directly using the tracking number. 5. If delayed more than 3 days beyond the EDD, contact support for escalation. 6. A revised delivery date or refund will be offered if the order is significantly delayed."
14,Order,Order Cancellation Request,Purchase,"Customer wants to cancel an order that has already been placed. Cancellation is possible before the order is shipped; after shipping, a return process must be initiated.","1. Go to 'My Orders' and select the order you want to cancel. 2. Click 'Cancel Order' — this is available before the order is shipped. 3. Select the cancellation reason from the dropdown. 4. Confirm the cancellation — a refund will be initiated to the original payment method. 5. If the order is already shipped, the 'Cancel' option will not be available — initiate a return instead. 6. Refunds for cancelled orders are processed within 5–7 business days."
15,Order,Return Request,Post-Purchase,"Customer wants to return a delivered item. Returns are accepted within the return window (usually 7–30 days) for items that are defective, damaged, or not as described.","1. Go to 'My Orders' and select the item to return. 2. Click 'Return Item' and select the return reason. 3. Schedule a pickup or drop-off at a nearby store. 4. Pack the item securely with all original accessories and packaging. 5. Refund will be initiated after the item is picked up and inspected. 6. Keep the return pickup confirmation as proof."
16,Delivery,Delivery Agent Issue,Post-Purchase,"Customer reports an issue with the delivery agent — such as rude behavior, refused delivery, or agent asking for extra charges.","1. Note the delivery agent's ID or name from the tracking page. 2. Report the issue via 'Report a Problem' in your order history. 3. Select 'Delivery Agent Behavior' as the issue type. 4. Provide a detailed description and any evidence. 5. Our team will review and take appropriate action within 48 hours. 6. If delivery was refused, a re-delivery will be scheduled free of charge."
17,Delivery,Package Damaged,Post-Purchase,"Customer received a package that is visibly damaged. The product inside may also be damaged. Damage during transit is the responsibility of the delivery partner.","1. Do not accept a visibly damaged package — refuse delivery if possible. 2. If already accepted, take photos of the outer packaging and the product. 3. Go to 'My Orders' > 'Report a Problem' > 'Package Damaged'. 4. Upload photos and describe the damage. 5. A replacement or full refund will be processed within 24–48 hours. 6. Keep all packaging materials until the issue is resolved."
18,Delivery,Delivery Address Change,Purchase,"Customer wants to update the delivery address after placing the order. Address changes are only possible before the order is dispatched.","1. Go to 'My Orders' and select the relevant order. 2. Click 'Edit Delivery Address' — this option is only available before dispatch. 3. Enter the new address and confirm. 4. If the order is already dispatched, contact the delivery partner to redirect the shipment. 5. Some delivery partners do not allow address changes after dispatch — in that case, the package will be returned and a refund issued."
19,Technical,App Crash,Pre-Purchase,"Customer reports that the mobile app is crashing or freezing frequently. This may be caused by outdated app version, insufficient storage, or OS compatibility issues.","1. Update the app to the latest version from the App Store or Play Store. 2. Restart your device and reopen the app. 3. Clear the app cache: Settings > Apps > [App Name] > Clear Cache. 4. Ensure your device has at least 200MB of free storage. 5. Uninstall and reinstall the app if the issue persists. 6. Report the crash with your device model and OS version to support."
20,Technical,Slow Loading,Pre-Purchase,"The app or website is loading slowly. This may be due to poor internet connectivity, server load during peak hours, or outdated browser/app version.","1. Check your internet connection — switch between Wi-Fi and mobile data. 2. Try refreshing the page or restarting the app. 3. Clear browser cache and cookies (for website). 4. Update the app to the latest version. 5. Avoid peak hours (usually evenings) when server load is highest. 6. If the issue persists for more than 24 hours, it may be a server-side issue — contact support."
21,Technical,Search Not Working,Pre-Purchase,"Customer is unable to search for products or the search results are irrelevant. This may be due to search index issues, filters being applied, or a temporary system glitch.","1. Clear any active filters — they may be narrowing results unexpectedly. 2. Try searching with different keywords or shorter terms. 3. Clear browser cache or app data and retry. 4. Log out and log back in to refresh your session. 5. If the search bar is completely unresponsive, try updating the app or using the website. 6. Report the issue with specific search terms to the support team."
22,Technical,Payment Gateway Error,Purchase,"Customer sees a payment gateway error during checkout. Error codes like 'GATEWAY_TIMEOUT' or 'PAYMENT_DECLINED' appear. This may be a temporary gateway issue or a bank-side block.","1. Wait a few minutes and retry — gateway timeouts are often temporary. 2. Try a different payment method (different card, net banking, or wallet). 3. Check if your card is enabled for online transactions — contact your bank if unsure. 4. Ensure your billing address matches your bank's records. 5. Disable VPN or proxy if active — these can trigger fraud detection. 6. Contact support if the issue persists with the error code provided."
23,Coupon,Coupon Not Applied,Purchase,"Customer's coupon or promo code is not working. Common reasons include expired coupon, minimum order value not met, or coupon already used.","1. Check the coupon expiry date — most coupons have a validity period. 2. Ensure your cart total meets the minimum order value for the coupon. 3. Verify the coupon terms — some coupons are category-specific or user-specific. 4. Each coupon can typically be used once per account. 5. Try copying and pasting the code instead of typing it manually. 6. Contact support with the coupon code if it still doesn't work."
24,Coupon,Cashback Not Credited,Post-Purchase,"Customer completed a qualifying transaction but cashback has not been credited to their wallet or account. Cashback can take up to 90 days depending on the offer terms.","1. Check the cashback offer terms — processing can take 30–90 days. 2. Ensure the transaction was completed (not pending or failed). 3. Check if the order meets all eligibility criteria (category, payment method, new user). 4. Verify cashback status in 'My Rewards' or 'Wallet' section. 5. If the cashback window has passed and it hasn't been credited, raise a dispute with the offer ID. 6. Contact support with your order ID and offer details."
25,Subscription,Subscription Not Activated,Post-Purchase,"Customer purchased a subscription plan but features are not activated. This may be due to payment processing delay or system sync issues.","1. Wait up to 30 minutes for the subscription to activate after payment. 2. Log out and log back in to refresh your account status. 3. Check 'My Subscriptions' to see the subscription status. 4. Ensure the payment was successfully completed — check your payment history. 5. If still inactive after 1 hour, contact support with your payment confirmation. 6. Support will manually activate or investigate the issue."
26,Subscription,Subscription Auto-Renewal Dispute,Post-Purchase,"Customer was charged for an auto-renewal they did not expect. The subscription may have renewed automatically as per the original terms without a reminder.","1. Check your email for the renewal reminder sent 7 days before renewal. 2. Go to 'My Subscriptions' to see the renewal date and terms. 3. If you wish to cancel, disable auto-renewal in the subscription settings. 4. Refunds for auto-renewals are subject to the refund policy — typically within 48 hours of renewal. 5. Contact support immediately if you want to dispute the charge — requests beyond 48 hours may not be eligible."
27,Wallet,Wallet Balance Not Updated,Post-Purchase,"Customer's wallet balance did not update after a refund, cashback, or manual top-up. This is usually a sync delay.","1. Pull down to refresh the wallet page or clear cache and reload. 2. Check transaction history for the credit entry — it may be pending. 3. Allow up to 24 hours for refund credits to appear in the wallet. 4. Log out and log back in to force a sync. 5. If balance is missing after 24 hours, raise a ticket with the transaction ID. 6. Support will verify and manually credit if necessary."
28,Wallet,Wallet Payment Failed,Purchase,"Customer tried to pay using wallet balance but the payment failed. This may be due to insufficient balance, wallet being inactive, or a temporary system error.","1. Check your wallet balance before attempting payment. 2. Ensure your wallet is active and not suspended. 3. Verify that the merchant accepts wallet payments. 4. Try refreshing the app or switching to a different network. 5. If wallet shows sufficient balance but payment fails, try a different payment method and contact support. 6. Report the issue with the transaction attempt details."
29,Fraud,Unauthorized Transaction,Post-Purchase,"Customer reports a transaction they did not authorize. This is a high-priority security issue and must be escalated immediately.","1. Immediately change your account password. 2. Revoke any active sessions from 'Account Security' settings. 3. Contact your bank immediately to block your card or account. 4. Report the unauthorized transaction to support with the transaction ID. 5. File a complaint with your bank's fraud team — this is time-sensitive. 6. Our security team will investigate and freeze the account if needed. 7. File a cyber fraud complaint at cybercrime.gov.in if financial loss occurred."
30,Fraud,Account Hacked,Post-Purchase,"Customer believes their account has been compromised. They may notice unfamiliar orders, changed profile details, or password reset emails they did not request.","1. Immediately click 'Forgot Password' to regain control of your account. 2. Use a new, strong password that you haven't used before. 3. Check 'Recent Activity' for unfamiliar logins or orders. 4. Revoke all active sessions and connected devices. 5. Contact support immediately — the account will be temporarily frozen for investigation. 6. Report any financial losses to your bank and cybercrime authorities."
